,anger,disgust,fear,happiness,sadness,surprise,neutral
0,0.04125560447573662,0.0593070387840271,0.08489768952131271,0.23721981048583984,0.048352595418691635,0.14636847376823425,0.3825988471508026
24,0.04640259966254234,0.05453689396381378,0.08257350325584412,0.24025993049144745,0.049182530492544174,0.14718906581401825,0.3798554837703705
48,0.03486679494380951,0.05289265513420105,0.0892263799905777,0.23999792337417603,0.07532529532909393,0.1293770968914032,0.37831389904022217
72,0.027573728933930397,0.04752803593873978,0.07912690192461014,0.2835468053817749,0.058114226907491684,0.12491290271282196,0.37919747829437256
96,0.028549911454319954,0.04767756909132004,0.09992096573114395,0.2761929929256439,0.05940063297748566,0.12651367485523224,0.36174413561820984
120,0.18252591788768768,0.10914625227451324,0.16418881714344025,0.10616607218980789,0.039002787321805954,0.23900336027145386,0.15996675193309784
144,0.17858439683914185,0.11555598676204681,0.13319963216781616,0.1130048930644989,0.04861922934651375,0.20066344738006592,0.21037235856056213
168,0.19337524473667145,0.10605450719594955,0.16502279043197632,0.10941074788570404,0.04310884699225426,0.22607441246509552,0.15695345401763916
192,0.18165653944015503,0.12090393155813217,0.12233292311429977,0.09788596630096436,0.052535105496644974,0.2056829184293747,0.21900257468223572
216,0.19939550757408142,0.12157750874757767,0.14773307740688324,0.08936409652233124,0.049989089369773865,0.21254569292068481,0.17939506471157074
240,0.22097159922122955,0.1271740198135376,0.15564830601215363,0.07347749173641205,0.0516728013753891,0.20732302963733673,0.16373276710510254
264,0.17582762241363525,0.11494944989681244,0.26021212339401245,0.07329337298870087,0.04642031714320183,0.21858812868595123,0.11070893704891205
288,0.12230414897203445,0.10347042977809906,0.2431761920452118,0.11072038114070892,0.04915224388241768,0.23589801788330078,0.13527849316596985
312,0.04263496398925781,0.06135018914937973,0.020592551678419113,0.2168397754430771,0.05655882880091667,0.07646233588457108,0.5255613327026367
336,0.026056429371237755,0.04851745441555977,0.010638698004186153,0.23358964920043945,0.06597989797592163,0.04304235056042671,0.5721755027770996
360,0.03829962760210037,0.06279158592224121,0.015983285382390022,0.23461869359016418,0.07122910022735596,0.04726329445838928,0.5298144221305847
384,0.030589547008275986,0.055004019290208817,0.010398819111287594,0.2362934947013855,0.07911372929811478,0.03352811932563782,0.5550722479820251
408,0.029030928388237953,0.05077315866947174,0.009555807337164879,0.24039824306964874,0.0750565156340599,0.03408525884151459,0.5611000061035156
432,0.055552929639816284,0.0694093182682991,0.029058601707220078,0.23663020133972168,0.05383354052901268,0.08922989666461945,0.4662855267524719
456,0.1041024848818779,0.11100395768880844,0.054815616458654404,0.23341582715511322,0.08391135931015015,0.08181068301200867,0.3309400975704193
480,0.18478521704673767,0.12456727772951126,0.21077819168567657,0.10107415914535522,0.0481247752904892,0.19403624534606934,0.13663408160209656
504,0.1881817877292633,0.12811404466629028,0.16194389760494232,0.11726278811693192,0.05976498872041702,0.17922520637512207,0.16550743579864502
528,0.1738046407699585,0.1392301619052887,0.17076492309570312,0.11424219608306885,0.06896255165338516,0.16478115320205688,0.16821438074111938
552,0.1868801862001419,0.13181787729263306,0.1311671882867813,0.13336028158664703,0.061045754700899124,0.1618591994047165,0.1938694715499878
576,0.1831534206867218,0.13276922702789307,0.17334404587745667,0.11385174840688705,0.055170051753520966,0.18982747197151184,0.15188400447368622
600,0.04349738359451294,0.0784841924905777,0.02511413022875786,0.22190271317958832,0.07322847098112106,0.05653194338083267,0.501241147518158
624,0.04374425485730171,0.08043135702610016,0.027186034247279167,0.20797204971313477,0.054737769067287445,0.05722716823220253,0.5287014245986938
648,0.04647459462285042,0.08021558076143265,0.021775957196950912,0.20183545351028442,0.07019660621881485,0.061467282474040985,0.5180344581604004
672,0.039605796337127686,0.058427147567272186,0.014169625006616116,0.22668378055095673,0.06332442164421082,0.06482920795679092,0.5329599976539612
696,0.047545287758111954,0.06759299337863922,0.01536061242222786,0.19795891642570496,0.06562197953462601,0.0552738681435585,0.5506464242935181
720,0.040165893733501434,0.06367474049329758,0.017539454624056816,0.23007899522781372,0.052640751004219055,0.0620378814637661,0.5338622331619263
744,0.03949524089694023,0.06432801485061646,0.0205854419618845,0.199147030711174,0.05949719622731209,0.07162397354841232,0.5453231334686279
768,0.06280441582202911,0.09436755627393723,0.06998270750045776,0.2360793948173523,0.08354403078556061,0.09248130768537521,0.3607405722141266
792,0.17446860671043396,0.11067263782024384,0.31254327297210693,0.08662363141775131,0.031452570110559464,0.19236856698989868,0.09187066555023193
816,0.1161702498793602,0.09683626145124435,0.329218327999115,0.08702448010444641,0.04938807711005211,0.21380242705345154,0.10756008327007294
840,0.09089071303606033,0.08738455176353455,0.336267352104187,0.09360665827989578,0.05303625017404556,0.21310001611709595,0.1257144808769226
864,0.0998743399977684,0.09605817496776581,0.31913599371910095,0.09239687770605087,0.05678405612707138,0.2013932168483734,0.1343572437763214
888,0.12042580544948578,0.09767084568738937,0.339375764131546,0.078187957406044,0.05383101850748062,0.20832200348377228,0.10218650102615356
912,0.12188863009214401,0.09473363310098648,0.3660294711589813,0.06543334573507309,0.04246530309319496,0.2288084477186203,0.08064116537570953
936,0.14737796783447266,0.09534945338964462,0.3503391742706299,0.06901558488607407,0.03394373133778572,0.22158478200435638,0.08238932490348816
