,anger,disgust,fear,happiness,sadness,surprise,neutral
0,-0.010720084999999999,-0.013509697999999999,-0.033204583,-0.150593981,-0.048180149,-0.058873106,0.3150815370000001
1,-0.011111944,-0.013338877,-0.030744887000000002,-0.141673744,-0.052017419,-0.056981541,0.30586838800000005
2,-0.008496875,-0.014504957,-0.048846161,-0.11025574799999999,-0.048710596,-0.071870186,0.30268454499999997
3,0.006913058,0.026845856,-0.08341691100000001,-0.327759229,0.028794626,-0.30208424500000003,0.650706731
4,0.05251441800000001,-0.003518116,0.45159445699999995,-0.393838466,-0.004626575,0.008957891999999967,-0.11108361800000001
5,0.134736964,-0.004967471999999999,0.349466339,-0.34322865199999997,-0.0055834249999999995,-0.011792182999999956,-0.118631627
6,0.144266082,-0.003756546999999999,0.327164463,-0.355916784,-0.0042202179999999995,0.010761230999999982,-0.11829818099999999
7,0.124634257,-0.001135259999999999,0.264399462,-0.294181462,-0.004460324000000002,0.024439423999999987,-0.113696023
8,0.11927705499999999,-0.024228094000000002,0.462627489,-0.154565865,-0.05922255800000001,0.277051069,-0.6209391129999999
9,0.10693617500000001,-0.028806419,0.41836299000000005,-0.11974847999999999,-0.078090615,0.33453957,-0.633193359
10,-0.003730268999999998,0.0049032939999999955,-0.033512931,-0.05499681099999999,-0.039876827999999996,-0.08090633500000001,0.208119869
11,-0.002018922999999999,-0.00030324600000000007,-0.03991037,-0.042140870999999996,-0.057869277999999996,-0.080854571,0.22309726399999996
12,-0.009357252000000002,-0.009213647999999998,-0.054613598,-0.04347385499999999,-0.066726569,-0.090780621,0.27416556999999997
13,-0.030423744000000003,-0.0059576790000000004,-0.046865652,-0.470626764,0.024561435,-0.209989339,0.739301697
14,0.101283591,0.0029044659999999996,0.394906335,-0.411369618,0.009159763000000001,0.012173920999999976,-0.109058373
15,0.166004324,0.0005305239999999992,0.38581573199999997,-0.422285675,0.004462493,-0.019886999999999988,-0.11464051600000001
16,0.181510998,0.0031429840000000014,0.384620085,-0.44405979599999995,0.007924135,-0.024996309999999966,-0.108142178
17,0.10760369500000001,-0.00865467,0.444319755,-0.385449763,-0.011111764,-0.014981269999999991,-0.13172604899999998
18,0.144223537,-0.006257199999999999,0.46001606100000003,-0.407682288,-0.006421304,-0.04505804200000002,-0.13882080800000002
19,0.12174779599999999,-0.028905906,0.461146211,-0.120078931,-0.072762018,0.288926199,-0.650073372
20,-0.00012104200000000176,0.0007915239999999948,-0.037106953000000005,-0.053527221,-0.041405061,-0.06789447600000001,0.19926321599999997
21,-0.009299159,-0.005727682999999997,-0.040372897,-0.058885355,-0.054833923,-0.06882406099999999,0.23794305299999996
22,-0.0038046689999999966,0.0019610410000000036,-0.02769406,-0.058185495,-0.050587192,-0.065839522,0.20414978299999997
23,-0.012488200000000001,-0.011130271999999997,-0.048874838999999996,-0.07986548900000001,-0.06988923999999999,-0.088238859,0.310486853
24,0.130834433,0.0012197500000000003,0.284683645,-0.40389543299999997,0.017345388,0.077279926,-0.107467854
25,0.104723002,0.012166798000000001,0.187363059,-0.367577318,0.133172795,0.011109888999999984,-0.080958157
26,0.125258826,0.009580179,0.197959371,-0.403552305,0.12061325400000002,0.063625545,-0.11348486499999999
27,0.10679618299999999,-0.0020651969999999995,0.258792661,-0.298278908,0.028570856999999998,0.02002161800000002,-0.11383723800000001
28,0.111673634,-0.0016290579999999992,0.27414397199999996,-0.36055984,0.05183762099999999,0.03749960699999999,-0.112965961
29,0.100601197,0.019649398,-0.022492343999999997,-0.095797889,0.196471236,0.03691981000000001,-0.23535135300000004
30,-0.003292429999999999,0.006054215000000002,-0.03271892,-0.052339349,-0.046313455,-0.062291598000000004,0.19090157800000007
31,-0.0032758020000000013,0.012217267999999996,-0.042650812,-0.060259305,-0.051168766,-0.070285717,0.21542304700000003
